Chart: 25670, Current Edition: 44, Print Date: Jun. /2011, Bahia de San Juan
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25670	Change	tabulation - SAN JUAN HARBOR, PR	tabulation - SAN JUAN HARBOR, PR	N 18 25' 34.000"	W 066 05' 28.000"	18.42611	-66.09111	LNM 08/17, 7th Dist	399	25670_1	2/16/2017
25670	Change	Depth Legend - Bahia De San Juan to:	39 FT APR 2016	N 18 27' 18.000"	W 066 06' 44.000"	18.455	-66.11222	LNM 08/17, 7th Dist	399	25670_1	2/16/2017
25670	Change	Depth Legend - Bahia De San Juan to:	35 FT APR 2016	N 18 27' 26.000"	W 066 06' 53.000"	18.45722	-66.11472	LNM 08/17, 7th Dist	399	25670_1	2/16/2017
25670	Change	Depth Legend - Bahia De San Juan to:	40 FT APR 2016	N 18 26' 52.000"	W 066 06' 29.000"	18.44778	-66.10806	LNM 08/17, 7th Dist	399	25670_1	2/16/2017
25670	Change	Depth Legend - Bahia De San Juan to:	37 1/2  FT APR 2016	N 18 25' 55.000"	W 066 06' 14.000"	18.43194	-66.10389	LNM 08/17, 7th Dist	399	25670_1	2/16/2017
25670	Change	Depth Legend - Bahia De San Juan to:	39 1/2  FT APR 2016	N 18 26' 53.000"	W 066 06' 36.000"	18.44806	-66.11	LNM 08/17, 7th Dist	399	25670_1	2/16/2017
25670	Change	Bahia De San Juan Range Front Light	Iso R 2s 27ft AIS	N 18 27' 25.516"	W 066 07' 42.426"	18.45709	-66.12845	LNM 47/16, 7th Dist	399	25670_1	12/1/2016
25670	Change	Bahia De San Juan Range Rear Light	Oc R 4s 48ft AIS	N 18 27' 18.378"	W 066 07' 42.554"	18.4551	-66.12849	LNM 47/16, 7th Dist	399	25670_1	12/1/2016
25670	Change	Bahia De San Juan Lighted Buoy 2	R "2" Fl R 4s AIS	N 18 28' 19.798"	W 066 07' 46.325"	18.47217	-66.12953	LNM 36/16, 7th Dist	399	25670_1	9/15/2016
25670	Change	Bahia De San Juan Lighted Buoy 3	G "3" Fl G 4s	N 18 28' 17.826"	W 066 07' 36.446"	18.47162	-66.12679	LNM 36/16, 7th Dist	399	25670_1	9/15/2016
25670	Change	Bahia De San Juan Lighted Buoy 4	R "4" Fl R 2.5s	N 18 28' 09.893"	W 066 07' 45.784"	18.46942	-66.12939	LNM 36/16, 7th Dist	399	25670_1	9/15/2016
25670	Change	Bahia De San Juan Lighted Buoy 5	R "5" Fl G 2.5s	N 18 28' 10.349"	W 066 07' 37.665"	18.46954	-66.12713	LNM 36/16, 7th Dist	399	25670_1	9/15/2016
25670	Change	tabulation - BAHIA DE SAN JUAN CHANNEL	tabulation - BAHIA DE SAN JUAN CHANNEL	N 18 25' 34.000"	W 066 05' 28.000"	18.42611	-66.09111	LNM 26/16, 7th Dist	399	25670_1	6/30/2016
