Chart: 501, Current Edition: 13, Print Date: Jun. /2009, North Pacific Ocean West Coast Of North America  Mexican Border To Dixon Entrance
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
501	Relocate	NOAA Environmental Lighted Buoy 46041	Y "46041" Fl (4) Y 20s	N 47 20' 56.352"	W 124 42' 13.454"	47.34899	-124.7037	LNM 25/17, 13th Dist	1650	501_1	Not Yet
501	Relocate	NOAA Environmental Lighted Buoy 46005	Y ODAS "46005" Fl (4) Y 20s PA	N 46 08' 24.000"	W 131 04' 12.000"	46.14	-131.07	LNM 24/17, 13th Dist	1650	501_1	6/22/2017
501	Relocate	DART Tsunami Warning Lighted Buoy 46404	Y DART "46404" Fl Y 4s	N 45 51' 12.000"	W 128 44' 00.000"	45.85333	-128.7333	LNM 23/17, 13th Dist	1650	501_1	6/8/2017
501	Relocate	NOAA Environmental Lighted Buoy 46005	Y ODAS "46005" Fl (4) Y 20s PA	N 46 08' 00.000"	W 131 40' 42.000"	46.13334	-131.6783	LNM 22/17, 13th Dist	1650	501_1	6/8/2017
501	Relocate	NOAA Environmental Lighted Buoy 46089	Y "46089" Fl (4) Y 20s	N 45 55' 29.000"	W 125 46' 17.000"	45.92472	-125.7714	LNM 20/17, 13th Dist	1650	501_1	5/18/2017
501	Relocate	NOAA Environmental Lighted Buoy 46029	Y "46029" Fl (4) Y 20s	N 46 09' 35.562"	W 124 29' 05.805"	46.15988	-124.4849	LNM 19/17, 13th Dist	1650	501_1	5/11/2017
501	Add	NOAA Environmental Lighted Buoy 46T29	Y "46T29" Fl (4) Y 20s	N 46 08' 28.045"	W 124 34' 28.021"	46.14112	-124.5744	LNM 19/17, 13th Dist	1650	501_1	5/11/2017
501	Add	Scripps Waverider CDIP Lighted Research Buoy 222	Y "222" Fl (5) Y 20s Priv	N 34 43' 54.420"	W 121 39' 51.420"	34.73178	-121.6643	LNM 03/17, 11th Dist	1650	501_1	1/26/2017
501	Relocate	Santa Cruz Light	Fl 5s Priv	N 36 57' 05.340"	W 122 01' 36.360"	36.95148	-122.0268	LNM 49/16, 11th Dist	1650	501_1	12/15/2016
501	Relocate	South Point Light	Fl 6s 530ft 8M	N 33 53' 50.430"	W 120 07' 08.112"	33.89734	-120.1189	LNM 49/16, 11th Dist	1650	501_1	12/15/2016
501	Add	James Island Light	Fl 9M	N 47 54' 17.480"	W 124 38' 50.871"	47.90485	-124.6475	LNM 45/16, 13th Dist	1650	501_1	11/3/2016
501	Add	Submarine Cable  PT 1 OF 6	Chart No. 1: L30.1	N 44 41' 27.900"	W 124 27' 30.590"	44.69108	-124.4585	LNM 39/16, 13th Dist	1650	501_1	10/20/2016
501	Add	Submarine Cable  PT 2 OF 6	Chart No. 1: L30.1	N 44 42' 36.430"	W 124 22' 25.640"	44.71012	-124.3738	LNM 39/16, 13th Dist	1650	501_1	10/20/2016
501	Add	Submarine Cable  PT 3 OF 6	Chart No. 1: L30.1	N 44 41' 45.040"	W 124 20' 29.140"	44.69584	-124.3414	LNM 39/16, 13th Dist	1650	501_1	10/20/2016
501	Add	Submarine Cable  PT 4 OF 6	Chart No. 1: L30.1	N 44 38' 16.020"	W 124 18' 18.940"	44.63778	-124.3053	LNM 39/16, 13th Dist	1650	501_1	10/20/2016
501	Add	Submarine Cable  PT 5 OF 6	Chart No. 1: L30.1	N 44 34' 16.180"	W 125 08' 58.180"	44.57116	-125.1495	LNM 39/16, 13th Dist	1650	501_1	10/20/2016
501	Add	Submarine Cable  PT 6 OF 6	Chart No. 1: L30.1	N 44 28' 16.400"	W 125 09' 01.600"	44.47122	-125.1504	LNM 39/16, 13th Dist	1650	501_1	10/20/2016
501	Relocate	NOAA Environmental Lighted Buoy 46041	Y "46041" Fl (4) Y 20s	N 47 20' 59.263"	W 124 42' 13.366"	47.3498	-124.7037	LNM 37/16, 13th Dist	1650	501_1	10/20/2016
501	Change	NOAA Environmental Lighted Buoy 46041	Y "46041" Fl (4) Y 20s	N 47 20' 59.263"	W 124 42' 13.366"	47.3498	-124.7037	LNM 37/16, 13th Dist	1650	501_1	10/20/2016
501	Relocate	NOAA Environmental Lighted Buoy 46025	Y "46025" Fl (4) Y 20s	N 33 46' 01.690"	W 119 03' 10.015"	33.76714	-119.0528	LNM 33/16, 11th Dist	1650	501_1	8/25/2016
501	Relocate	NOAA Environmental Buoy 46013	Y "46013" Fl (4) Y 20s	N 38 14' 17.031"	W 123 18' 26.606"	38.23806	-123.3074	LNM 32/16, 11th Dist	1650	501_1	8/18/2016
501	Change	NOAA Environmental Buoy 46013	Y "46013" Fl (4) Y 20s	N 38 14' 17.031"	W 123 18' 26.606"	38.23806	-123.3074	LNM 32/16, 11th Dist	1650	501_1	8/18/2016
501	Relocate	DART Tsunami Warning Lighted Buoy 46407	Y DART "46407" Fl Y 4s	N 42 40' 54.000"	W 128 49' 54.000"	42.68167	-128.8317	LNM 30/16, 13th Dist	1650	501_1	7/28/2016
501	Relocate	NOAA Environmental Lighted Buoy 46022	Y "46022" Fl (4) Y 20s	N 40 42' 52.504"	W 124 31' 39.073"	40.71458	-124.5275	LNM 25/16, 11th Dist	1650	501_1	6/30/2016
501	Change	NOAA Environmental Lighted Buoy 46022	Y "46022" Fl (4) Y 20s	N 40 42' 52.504"	W 124 31' 39.073"	40.71458	-124.5275	LNM 25/16, 11th Dist	1650	501_1	6/30/2016
501	Delete	DART Tsunami Warning Lighted Buoy	Gy Dart Fl Y 4s Priv	N 44 38' 55.000"	W 125 59' 59.000"	44.64861	-125.9997	LNM 11/16, 13th Dist	1650	501_1	3/17/2016
501	Delete	DART Tsunami Warning Lighted Buoy	Gy Dart Fl Y 4s Priv	N 44 48' 06.000"	W 125 59' 42.000"	44.80167	-125.995	LNM 11/16, 13th Dist	1650	501_1	3/17/2016
501	Relocate	DART Tsunami Warning Lighted Buoy 46451	Y DART "46451" Fl Y 4s Priv	N 44 48' 54.360"	W 125 41' 58.000"	44.8151	-125.6994	LNM 11/16, 13th Dist	1650	501_1	3/17/2016
501	Change	DART Tsunami Warning Lighted Buoy 46451	Y DART "46451" Fl Y 4s Priv	N 44 48' 54.360"	W 125 41' 58.000"	44.8151	-125.6994	LNM 11/16, 13th Dist	1650	501_1	3/17/2016
501	Change	DART Tsunami Warning Lighted Buoy 46452	Y DART "46452" Fl Y 4s Priv	N 44 52' 50.760"	W 125 52' 14.100"	44.88077	-125.8706	LNM 11/16, 13th Dist	1650	501_1	3/17/2016
501	Relocate	NOAA Environmental Lighted Buoy 46015	Y "46015" Fl (4) Y 20s	N 42 45' 57.032"	W 124 49' 58.856"	42.76584	-124.833	LNM 47/15, 13th Dist	1650	501_1	11/26/2015
501	Change	NOAA Environmental Lighted Buoy 46015	Y "46015" Fl (4) Y 20s	N 42 45' 57.032"	W 124 49' 58.856"	42.76584	-124.833	LNM 47/15, 13th Dist	1650	501_1	11/26/2015
501	Relocate	NOAA Environmental Lighted Buoy 46029	Y "46029" Fl (4) Y 20s	N 46 09' 30.580"	W 124 30' 51.886"	46.15849	-124.5144	LNM 47/15, 13th Dist	1650	501_1	11/26/2015
501	Relocate	NOAA Environmental Lighted Buoy 46089	Y "46089" Fl (4) Y 20s	N 45 53' 30.891"	W 125 48' 01.746"	45.89191	-125.8005	LNM 47/15, 13th Dist	1650	501_1	11/26/2015
501	Change	NOAA Environmental Lighted Buoy 46089	Y "46089" Fl (4) Y 20s	N 45 53' 30.891"	W 125 48' 01.746"	45.89191	-125.8005	LNM 47/15, 13th Dist	1650	501_1	11/26/2015
501	Relocate	DART Tsunami Warning Lighted Buoy 46404	Y DART "46404" Fl Y 4s	N 45 51' 25.000"	W 128 44' 11.000"	45.85695	-128.7364	LNM 42/15, 13th Dist	1650	501_1	10/29/2015
501	Relocate	DART Tsunami Warning Lighted Buoy 46407	Y DART "46407" Fl Y 4s	N 42 39' 53.000"	W 128 48' 23.000"	42.66472	-128.8064	LNM 42/15, 13th Dist	1650	501_1	10/29/2015
501	Change	DART Tsunami Warning Lighted Buoy 46404	Y DART "46404" Fl Y 4s	N 45 51' 25.000"	W 128 44' 11.000"	45.85695	-128.7364	LNM 42/15, 13th Dist	1650	501_1	10/29/2015
501	Change	DART Tsunami Warning Lighted Buoy 46407	Y DART "46407" Fl Y 4s	N 42 39' 53.000"	W 128 48' 23.000"	42.66472	-128.8064	LNM 42/15, 13th Dist	1650	501_1	10/29/2015
501	Relocate	NOAA Environmental Lighted Buoy 46050	Y "46050" Fl (4) Y 20s	N 44 39' 22.000"	W 124 31' 33.000"	44.65611	-124.5258	LNM 42/15, 13th Dist	1650	501_1	10/29/2015
501	Change	NOAA Environmental Lighted Buoy 46050	Y "46050" Fl (4) Y 20s	N 44 39' 22.000"	W 124 31' 33.000"	44.65611	-124.5258	LNM 42/15, 13th Dist	1650	501_1	10/29/2015
501	Relocate	Point Arena Light	Fl 15s 155ft 14M	N 38 57' 17.127"	W 123 44' 26.158"	38.95476	-123.7406	LNM 41/15, 11th Dist	1650	501_1	10/22/2015
501	Add	DART Tsunami Warning Lighted Buoy FS1	Y "FS1" Fl Y 4s	N 44 48' 54.360"	W 125 41' 58.500"	44.8151	-125.6996	LNM 40/15, 13th Dist	1650	501_1	10/15/2015
501	Add	DART Tsunami Warning Lighted Buoy FS2	Y "FS2" Fl Y 4s	N 44 52' 50.760"	W 125 52' 14.100"	44.88077	-125.8706	LNM 40/15, 13th Dist	1650	501_1	10/15/2015
501	Relocate	Point Bonita Light	Oc 4s 124ft 18M HORN	N 37 48' 56.120"	W 122 31' 46.266"	37.81559	-122.5295	LNM 39/15, 11th Dist	1650	501_1	10/15/2015
501	Relocate	NOAA Environmental Lighted Buoy 46002	Y ODAS "46002" Fl (4) Y 20s PA	N 42 36' 09.668"	W 130 30' 23.587"	42.60268	-130.5065	LNM 39/15, 13th Dist	1650	501_1	10/8/2015
501	Relocate	Columbia River Approach Lighted Whistle Buoy CR	RW "CR" Mo (A) WHIS RACON M (--) AIS	N 46 11' 04.929"	W 124 11' 02.685"	46.1847	-124.1841	LNM 29/15, 13th Dist	1650	501_1	7/30/2015
501	Relocate	North Head Light	Fl (2) 30s 194ft 19M	N 46 17' 56.064"	W 124 04' 40.732"	46.29891	-124.078	LNM 17/15, 13th Dist	1650	501_1	5/14/2015
501	Relocate	NOAA Environmental Lighted Buoy 46029	Y "46029" Fl (4) Y 20s	N 46 09' 32.000"	W 124 30' 52.000"	46.15889	-124.5144	LNM 18/15, 13th Dist	1650	501_1	5/14/2015
501	Change	NOAA Environmental Lighted Buoy 46029	Y "46029" Fl (4) Y 20s	N 46 09' 32.000"	W 124 30' 52.000"	46.15889	-124.5144	LNM 18/15, 13th Dist	1650	501_1	5/14/2015
501	Relocate	North Head Light	Fl (2) 30s 194ft 19M	N 46 17' 56.049"	W 124 04' 40.742"	46.2989	-124.078	LNM 17/15, 13th Dist	1650	501_1	5/7/2015
501	Relocate	Morro Bay West Breakwater Light	Fl 4s 36ft 9M HORN	N 35 21' 46.284"	W 120 52' 11.364"	35.36286	-120.8698	LNM 15/15, 11th Dist	1650	501_1	4/23/2015
501	Relocate	NOAA Environmental Lighted Buoy 46025	Y "46025" Fl (4) Y 20s	N 33 45' 36.345"	W 119 02' 56.670"	33.7601	-119.0491	LNM 08/15, 11th Dist	1650	501_1	3/5/2015
501	Change	NOAA Environmental Lighted Buoy 46025	Y "46025" Fl (4) Y 20s	N 33 45' 36.345"	W 119 02' 56.670"	33.7601	-119.0491	LNM 08/15, 11th Dist	1650	501_1	3/5/2015
501	Change	San Joaquin River Light 3	Fl G 2.5s 16ft 3M "3"	N 38 01' 43.334"	W 121 49' 29.862"	38.02871	-121.825	LNM 07/15, 11th Dist	1650	501_1	3/5/2015
501	Delete	Cleft Of The Rock Light	Al WR 10s 110ft Priv	N 44 17' 30.000"	W 124 06' 30.000"	44.29167	-124.1083	LNM 03/15, 13th Dist	1650	501_1	1/29/2015
501	Relocate	NOAA Environmental Lighted Buoy 46041	Y NOAA "46041" Fl (4) Y 20s	N 47 21' 10.000"	W 124 43' 50.000"	47.35278	-124.7306	LNM 47/14, 13th Dist	1650	501_1	12/4/2014
501	Relocate	DART Tsunami Warning Lighted Buoy 46419	Y DART "46419" Fl (4) Y 20s	N 48 45' 59.000"	W 129 37' 57.000"	48.76639	-129.6325	LNM 47/14, 13th Dist	1650	501_1	12/4/2014
501	Change	NOAA Environmental Lighted Buoy 46041	Y NOAA "46041" Fl (4) Y 20s	N 47 21' 10.000"	W 124 43' 50.000"	47.35278	-124.7306	LNM 47/14, 13th Dist	1650	501_1	12/4/2014
501	Change	DART Tsunami Warning Lighted Buoy 46419	Y DART "46419" Fl (4) Y 20s	N 48 45' 59.000"	W 129 37' 57.000"	48.76639	-129.6325	LNM 47/14, 13th Dist	1650	501_1	12/4/2014
501	Change	Scripps Offshore CCE-1 Research Lighted Buoy SIO	Y "SIO" Fl Y 4s Priv	N 33 30' 55.000"	W 122 30' 18.400"	33.51528	-122.5051	LNM 46/14, 11th Dist	1650	501_1	11/27/2014
