Chart: 83157, Current Edition: 6, Print Date: May. /2006, Palmyra Atoll;Approaches to Palmyra Atoll
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
83157	Add	Islet PT 1 OF 8	Chart No 1 K10	N 05 52' 26.000"	W 162 04' 02.500"	5.873889	-162.0674	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 1 OF 8	Chart No 1 K10	N 05 52' 26.000"	W 162 04' 02.500"	5.873889	-162.0674	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Add	Islet PT 2 OF 8	Chart No 1 K10	N 05 52' 25.000"	W 162 04' 01.500"	5.873611	-162.0671	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 2 OF 8	Chart No 1 K10	N 05 52' 25.000"	W 162 04' 01.500"	5.873611	-162.0671	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Add	Islet PT 3 OF 8	Chart No 1 K10	N 05 52' 24.200"	W 162 04' 01.700"	5.873389	-162.0671	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 3 OF 8	Chart No 1 K10	N 05 52' 24.200"	W 162 04' 01.700"	5.873389	-162.0671	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Add	Islet PT 4 OF 8	Chart No 1 K10	N 05 52' 23.400"	W 162 04' 02.100"	5.873167	-162.0672	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 4 OF 8	Chart No 1 K10	N 05 52' 23.400"	W 162 04' 02.100"	5.873167	-162.0672	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Add	Islet PT 5 OF 8	Chart No 1 K10	N 05 52' 23.500"	W 162 04' 02.600"	5.873194	-162.0674	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 5 OF 8	Chart No 1 K10	N 05 52' 23.500"	W 162 04' 02.600"	5.873194	-162.0674	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Add	Islet PT 6 OF 8	Chart No 1 K10	N 05 52' 24.700"	W 162 04' 03.100"	5.873528	-162.0675	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 6 OF 8	Chart No 1 K10	N 05 52' 24.700"	W 162 04' 03.100"	5.873528	-162.0675	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Add	Islet PT 7 OF 8	Chart No 1 K10	N 05 52' 25.200"	W 162 04' 03.200"	5.873667	-162.0676	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 7 OF 8	Chart No 1 K10	N 05 52' 25.200"	W 162 04' 03.200"	5.873667	-162.0676	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Add	Islet PT 8 OF 8	Chart No 1 K10	N 05 52' 25.800"	W 162 04' 03.000"	5.873833	-162.0675	LNM 06/09, 14th Dist	2838	83157_2	2/12/2009
83157	Add	Islet PT 8 OF 8	Chart No 1 K10	N 05 52' 25.800"	W 162 04' 03.000"	5.873833	-162.0675	LNM 06/09, 14th Dist	2837	83157_1	2/12/2009
83157	Change	Depth Legend - West Lagoon Entrance to:	18 ft rep 2006	N 05 52' 27.300"	W 162 06' 36.300"	5.87425	-162.1101	LNM 25/07, 14th Dist	2837	83157_1	2/13/2008
