Chart	Action	ItemName	ChartingLa	Latitude	Longitude	LatDD	LongDD	PublishedD	Kapp	RNCPanel	RNCPosted
12300	Change	BLOCK ISLAND BKW LIGHT 3	Q G 27ft 6M "3" HORN (MRASS)	N 41 10' 38.492"	W 071 33' 14.538"	41.17736	-71.55404	LNM 24/17, 1st Dist	666	12300_1	6/22/2017
12300	Delete	SAKONNET RIVER ENTRANCE LTD BUOY SR	RW "SR" Mo (A) WHIS	N 41 25' 45.374"	W 071 13' 23.166"	41.42927	-71.2231	LNM 20/17, 1st Dist	666	12300_1	5/25/2017
12300	Add	CARIBBEAN WIND LTD RESEARCH BUOY BW1	Y "BW1" Fl Y 4s Priv	N 40 55' 03.270"	W 070 55' 55.150"	40.91758	-70.93198	LNM 15/17, 1st Dist	666	12300_1	4/20/2017
12300	Add	CARIBBEAN WIND LTD RESEARCH BUOY BW2	Y "BW2" Fl Y 4s Priv	N 41 07' 05.170"	W 070 39' 34.500"	41.1181	-70.65958	LNM 15/17, 1st Dist	666	12300_1	4/20/2017
12300	Add	CARIBBEAN WIND LTD RESEARCH BUOY BW3	Y "BW3" Fl Y 10s Priv	N 41 07' 05.170"	W 070 34' 24.500"	41.1181	-70.57347	LNM 15/17, 1st Dist	666	12300_1	4/20/2017
12300	Add	Obstruction	Unexploded ordnance (reported 2017)	N 39 45' 01.200"	W 073 23' 29.400"	39.75033	-73.3915	LNM 13/17, 1st Dist	666	12300_1	3/30/2017
12300	Add	Submarine Cable  PT 1 OF 10	Chart No. 1: L30.1	N 41 06' 24.650"	W 071 32' 15.390"	41.10685	-71.53761	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 2 OF 10	Chart No. 1: L30.1	N 41 06' 36.540"	W 071 31' 45.140"	41.11015	-71.52921	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 3 OF 10	Chart No. 1: L30.1	N 41 06' 53.080"	W 071 31' 16.690"	41.11475	-71.5213	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 4 OF 10	Chart No. 1: L30.1	N 41 07' 13.870"	W 071 30' 50.510"	41.12052	-71.51403	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 5 OF 10	Chart No. 1: L30.1	N 41 07' 32.890"	W 071 30' 28.140"	41.1258	-71.50782	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 6 OF 10	Chart No. 1: L30.1	N 41 07' 55.160"	W 071 30' 08.250"	41.13199	-71.50229	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 7 OF 10	Chart No. 1: L30.1	N 41 10' 02.120"	W 071 30' 58.090"	41.16726	-71.51614	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 8 OF 10	Chart No. 1: L30.1	N 41 10' 33.920"	W 071 31' 34.700"	41.17609	-71.52631	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 9 OF 10	Chart No. 1: L30.1	N 41 11' 13.150"	W 071 33' 05.460"	41.18699	-71.55151	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Submarine Cable  PT 10 OF 10	Chart No. 1: L30.1	N 41 11' 01.230"	W 071 33' 55.050"	41.18367	-71.56529	LNM 05/17, 1st Dist	666	12300_1	1/26/2017
12300	Add	Rock in Fathoms (Within Corresponding Depth Area)	4 3/4 Rk     	N 41 19' 30.700"	W 070 43' 54.400"	41.3252	-70.73178	LNM 02/17, 1st Dist	666	12300_1	1/5/2017
12300	Delete	WHOI LTD BUOY V	Y "V" Fl Y 4s Priv	N 41 15' 36.000"	W 071 02' 17.000"	41.26	-71.03806	LNM 49/16, 1st Dist	666	12300_1	12/15/2016
12300	Delete	WHOI LTD BUOY W	Y "W" Fl Y 4s Priv	N 41 15' 39.000"	W 071 01' 43.000"	41.26083	-71.02861	LNM 49/16, 1st Dist	666	12300_1	12/15/2016
12300	Delete	WHOI LTD BUOY X	Y "X" Fl Y 4s Priv	N 41 15' 56.000"	W 071 01' 54.000"	41.26556	-71.03167	LNM 49/16, 1st Dist	666	12300_1	12/15/2016
12300	Delete	WHOI LTD BUOY Z	Y "Z" Fl Y 4s Priv	N 41 15' 57.000"	W 071 01' 54.000"	41.26583	-71.03167	LNM 49/16, 1st Dist	666	12300_1	12/15/2016
12300	Delete	SHREWSBURY ROCKS LTD BUOY 1	G "1" Fl G 2s	N 40 20' 27.896"	W 073 55' 34.489"	40.34108	-73.92625	LNM 46/16, 1st Dist	666	12300_1	11/24/2016
12300	Relocate	Absecon Inlet Lighted Buoy 1	G "1" Fl G 4s	N 39 20' 47.393"	W 074 24' 01.337"	39.3465	-74.40037	LNM 20/16, 5th Dist	666	12300_1	5/26/2016
12300	Delete	USGS RESEARCH LTD BUOY W	Y "W" Fl Y 4s Priv	N 40 35' 04.210"	W 073 06' 24.220"	40.5845	-73.10673	LNM 08/16, 1st Dist	666	12300_1	3/3/2016
12300	Delete	Superbuoy DART 44402	Y "44402" Fl (4) Y 20s (DART) PA	N 39 23' 54.000"	W 070 56' 30.000"	39.39833	-70.94167	WNM 05/16, NGA	666	12300_1	1/28/2016
12300	Add	Superbuoy DART 44402	Y "44402" Fl (4) Y 20s (DART) PA	N 39 17' 54.000"	W 070 39' 36.000"	39.29833	-70.66	WNM 05/16, NGA	666	12300_1	1/28/2016
12300	Change	BLOCK ISLAND WIND FARM WTG-1	Q Y "WTG-1" Priv	N 41 07' 32.740"	W 071 30' 27.040"	41.12576	-71.50751	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Relocate	BLOCK ISLAND WIND FARM WTG-1	Q Y "WTG-1" Priv	N 41 07' 32.740"	W 071 30' 27.040"	41.12576	-71.50751	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Change	BLOCK ISLAND WIND FARM WTG-2	Q Y "WTG-2" Priv	N 41 07' 11.570"	W 071 30' 50.220"	41.11988	-71.51395	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Relocate	BLOCK ISLAND WIND FARM WTG-2	Q Y "WTG-2" Priv	N 41 07' 11.570"	W 071 30' 50.220"	41.11988	-71.51395	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
