Chart	Action	ItemName	ChartingLa	Latitude	Longitude	LatDD	LongDD	PublishedD	Kapp	RNCPanel	RNCPosted
11409	Change	Anclote River Light 9	Q G 16ft 4M "9"	N 28 10' 47.194"	W 082 48' 14.726"	28.17978	-82.80409	LNM 31/17, 7th Dist	174	11409_1	8/24/2017
11409	Add	Homosassa River Buoy 74A	R N "74A"	N 28 47' 01.433"	W 082 37' 49.269"	28.78373	-82.63036	LNM 26/17, 7th Dist	174	11409_1	6/29/2017
11409	Delete	Homosassa Bay Lighted Buoy 26	R "26" Fl R 4s	N 28 46' 19.566"	W 082 42' 25.566"	28.7721	-82.7071	LNM 13/17, 7th Dist	174	11409_1	4/13/2017
11409	Add	Homosassa Bay Light 26	Fl R 4s 5M "26"	N 28 46' 19.503"	W 082 42' 25.521"	28.77208	-82.70709	LNM 13/17, 7th Dist	174	11409_1	4/13/2017
11447	Change	tabulation - KEY WEST HARBOR CHANNEL DEPTHS	tabulation - KEY WEST HARBOR CHANNEL DEPTHS	N 24 33' 19.000"	W 081 47' 03.000"	24.55528	-81.78416	LNM 10/17, 7th Dist	327	11447_1	3/2/2017
11447	Add	channel reach separation line PT 1 OF 2	channel reach separation line	N 24 33' 46.790"	W 081 48' 26.780"	24.563	-81.80744	LNM 10/17, 7th Dist	327	11447_1	3/2/2017
11447	Add	channel reach separation line PT 2 OF 2	channel reach separation line	N 24 33' 42.600"	W 081 48' 28.850"	24.56183	-81.80801	LNM 10/17, 7th Dist	327	11447_1	3/2/2017
11447	Add	Tug Tilly Lighted Buoy T	RB "T" Fl (2) 5s	N 24 31' 13.213"	W 081 49' 52.678"	24.52034	-81.8313	LNM 36/16, 7th Dist	327	11447_1	9/15/2016
11447	Delete	Dangerous Wreck	PA	N 24 30' 35.156"	W 081 50' 27.322"	24.50977	-81.84092	LNM 30/16, 7th Dist	327	11447_1	7/28/2016
11447	Change	Key West Main Channel Cut A Range Rear Light	Iso 6s 50ft	N 24 33' 35.977"	W 081 50' 20.610"	24.55999	-81.83906	LNM 24/16, 7th Dist	327	11447_1	6/30/2016
11447	Relocate	Key West Main Channel Cut A Range Front Light	Q 35ft	N 24 33' 12.007"	W 081 50' 02.428"	24.55334	-81.83401	LNM 23/16, 7th Dist	327	11447_1	6/16/2016
11447	Change	Key West Main Channel Cut A Range Front Light	Q 10ft	N 24 33' 12.007"	W 081 50' 02.428"	24.55334	-81.83401	LNM 23/16, 7th Dist	327	11447_1	6/16/2016
